"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 24 - State Senator","Kevin Van De Wege","(Prefers Democratic Party)",49883,54.08,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Connie Beauvais","(Prefers Republican Party)",42289,45.84,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","WRITE-IN"," ",74,0.08,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Mike Chapman","(Prefers Democratic Party)",49965,54.17,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Sue Forde","(Prefers Republican Party)",42207,45.76,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","WRITE-IN"," ",67,0.07,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)",49262,53.64,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Brian Pruiett","(Prefers Republican Party)",42515,46.29,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","WRITE-IN"," ",66,0.07,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Chris Gildon","(Prefers Republican Party)",41440,53.79,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Julie Door","(Prefers Democratic Party)",35476,46.05,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","WRITE-IN"," ",123,0.16,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Kelly Chambers","(Prefers Republican Party)",41055,53.39,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Jamie Smith","(Prefers Democratic Party)",35742,46.48,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","WRITE-IN"," ",102,0.13,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Cyndy Jacobsen","(Prefers Republican Party)",40242,52.42,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Brian Duthie","(Prefers Democratic Party)",36406,47.42,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","WRITE-IN"," ",121,0.16,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Jesse L. Young","(Prefers Republican Party)",47171,52.76,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Carrie Hesch","(Prefers Democratic Party)",42113,47.1,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","WRITE-IN"," ",129,0.14,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Joy Stanford","(Prefers Democratic Party)",40189,44.98,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Michelle Caldier","(Prefers Republican Party)",48973,54.81,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","WRITE-IN"," ",183,0.2,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Senator","Jeannie Darneille","(Prefers Democratic Party)",52421,69.55,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Senator","Kyle Paskewitz","(Prefers Republican Party)",22785,30.23,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Senator","WRITE-IN"," ",170,0.23,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 1","Laurie Jinkins","(Prefers Democratic Party)",54770,78.83,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 1","Ryan Talen","(Prefers Democratic Party)",12158,17.5,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 1","WRITE-IN"," ",2547,3.67,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 2","Jake Fey","(Prefers Democratic Party)",52081,71.39,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 2","Barry Knowles","(Prefers Independent Party)",20177,27.66,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 2","WRITE-IN"," ",695,0.95,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","Twina Nobles","(Prefers Democratic Party)",35802,50.61,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","Steve O'Ban","(Prefers Republican Party)",34793,49.19,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","WRITE-IN"," ",142,0.2,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Mari Leavitt","(Prefers Democratic Party)",39973,57.21,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Kevin Ballard","(Prefers Republican Party)",29785,42.63,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","WRITE-IN"," ",114,0.16,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Dan Bronoske","(Prefers Democratic Party)",38365,55.01,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Chris Nye","(Prefers Republican Party)",31227,44.78,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","WRITE-IN"," ",150,0.22,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Melanie Morgan","(Prefers Democratic Party)",36634,63.61,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Koshin Mohamed Fidaar","(Prefers Republican Party)",20745,36.02,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","WRITE-IN"," ",210,0.36,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","Terry Harder","(Prefers Republican Party)",23619,40.74,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","Steve Kirby","(Prefers Democratic Party)",34149,58.9,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","WRITE-IN"," ",208,0.36,"Legislative"
"LEGISLATIVE DISTRICT 30 - State Representative Pos. 1","Jamila Taylor","(Prefers Democratic Party)",36338,57.86,"Legislative"
"LEGISLATIVE DISTRICT 30 - State Representative Pos. 1","Martin A. Moore","(Prefers Ind Republican Party)",26406,42.04,"Legislative"
"LEGISLATIVE DISTRICT 30 - State Representative Pos. 1","WRITE-IN"," ",63,0.1,"Legislative"
"LEGISLATIVE DISTRICT 30 - State Representative Pos. 2","Jesse Johnson","(Prefers Democratic Party)",37941,60.29,"Legislative"
"LEGISLATIVE DISTRICT 30 - State Representative Pos. 2","Jack Walsh","(Prefers Republican Party)",24948,39.64,"Legislative"
"LEGISLATIVE DISTRICT 30 - State Representative Pos. 2","WRITE-IN"," ",43,0.07,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","Drew Stokesbary","(Prefers Republican Party)",54517,63.46,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","Katie Young","(Prefers Democratic Party)",31306,36.44,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","WRITE-IN"," ",89,0.1,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Eric E. Robertson","(Prefers Republican Party)",53858,62.91,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Thomas R. Clark","(Prefers Democratic Party)",31657,36.98,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","WRITE-IN"," ",99,0.12,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)",52703,71.56,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 1","Shirley Sutton","(Prefers Democratic Party)",19658,26.69,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 1","WRITE-IN"," ",1292,1.75,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 2","Lauren Davis","(Prefers Democratic Party)",59115,77.84,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 2","Tamra Smilanich","(Prefers Non Partisan Party)",16325,21.5,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 2","WRITE-IN"," ",507,0.67,"Legislative"
"LEGISLATIVE DISTRICT 33 - State Representative Pos. 1","Tina L. Orwall","(Prefers Democratic Party)",43397,71.41,"Legislative"
"LEGISLATIVE DISTRICT 33 - State Representative Pos. 1","Kerry French","(Prefers R Party)",17270,28.42,"Legislative"
"LEGISLATIVE DISTRICT 33 - State Representative Pos. 1","WRITE-IN"," ",103,0.17,"Legislative"
"LEGISLATIVE DISTRICT 33 - State Representative Pos. 2","Mia Su-Ling Gregerson","(Prefers Democratic Party)",42578,73.13,"Legislative"
"LEGISLATIVE DISTRICT 33 - State Representative Pos. 2","Marliza Melzer","(Prefers Libertarian Party)",15123,25.98,"Legislative"
"LEGISLATIVE DISTRICT 33 - State Representative Pos. 2","WRITE-IN"," ",520,0.89,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","Eileen L. Cody","(Prefers Democratic Party)",73609,97.75,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","WRITE-IN"," ",1693,2.25,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","Joe Fitzgibbon","(Prefers Democratic Party)",73231,97.8,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","WRITE-IN"," ",1651,2.2,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)",49314,58.33,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 1","Colton Myers","(Prefers Democratic Party)",35131,41.55,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 1","WRITE-IN"," ",100,0.12,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","Drew C. MacEwen","(Prefers Republican Party)",47618,56.42,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","Darcy Huffman","(Prefers Democratic Party)",36668,43.44,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","WRITE-IN"," ",115,0.14,"Legislative"
"LEGISLATIVE DISTRICT 36 - State Representative Pos. 1","Noel Christina Frame","(Prefers Democratic Party)",86090,98.49,"Legislative"
"LEGISLATIVE DISTRICT 36 - State Representative Pos. 1","WRITE-IN"," ",1323,1.51,"Legislative"
"LEGISLATIVE DISTRICT 36 - State Representative Pos. 2","Liz Berry","(Prefers Democratic Party)",55717,58.22,"Legislative"
"LEGISLATIVE DISTRICT 36 - State Representative Pos. 2","Sarah Reyneveld","(Prefers Democratic Party)",39131,40.89,"Legislative"
"LEGISLATIVE DISTRICT 36 - State Representative Pos. 2","WRITE-IN"," ",853,0.89,"Legislative"
"LEGISLATIVE DISTRICT 37 - State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)",63557,81.73,"Legislative"
"LEGISLATIVE DISTRICT 37 - State Representative Pos. 1","John Stafford","(Prefers Democratic Party)",13165,16.93,"Legislative"
"LEGISLATIVE DISTRICT 37 - State Representative Pos. 1","WRITE-IN"," ",1043,1.34,"Legislative"
"LEGISLATIVE DISTRICT 37 - State Representative Pos. 2","Kirsten Harris-Talley","(Prefers Democratic Party)",50780,65.52,"Legislative"
"LEGISLATIVE DISTRICT 37 - State Representative Pos. 2","Chukundi Salisbury","(Prefers Democratic Party)",25706,33.17,"Legislative"
"LEGISLATIVE DISTRICT 37 - State Representative Pos. 2","WRITE-IN"," ",1022,1.32,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Senator","June Robinson","(Prefers Democratic Party)",39799,58.79,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Senator","Bernard Moody","(Prefers Republican Party)",27818,41.09,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Senator","WRITE-IN"," ",83,0.12,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Emily Wicks","(Prefers Democratic Party)",39730,58.88,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Bert Johnson","(Prefers Republican Party)",27651,40.98,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","WRITE-IN"," ",92,0.14,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","Mike Sells","(Prefers Democratic Party)",43178,66.81,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","David Wiley","(Prefers Libertarian Party)",20810,32.2,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","WRITE-IN"," ",644,1,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","Keith L. Wagoner","(Prefers Republican Party)",52386,65.41,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","Kathryn A. Lewandowsky","(Prefers WA Progressive Party)",27578,34.43,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","WRITE-IN"," ",125,0.16,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Robert J. Sutherland","(Prefers Republican Party)",48716,60.02,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Claus Joens","(Prefers Democratic Party)",32349,39.86,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","WRITE-IN"," ",100,0.12,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","Carolyn Eslick","(Prefers Republican Party)",51067,63.05,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","Ryan Johnson","(Prefers Democratic Party)",29833,36.83,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","WRITE-IN"," ",96,0.12,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","Elizabeth (Liz) Lovelett","(Prefers Democratic Party)",60871,69.5,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","Charles Carrell","(Prefers Republican Party)",26638,30.41,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","WRITE-IN"," ",78,0.09,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 1","Debra Lekanoff","(Prefers Democratic Party)",64898,95.7,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 1","WRITE-IN"," ",2915,4.3,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","Alex Ramel","(Prefers Democratic Party)",58915,68.13,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","Russ Dzialo","(Prefers Republican Party)",27408,31.69,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","WRITE-IN"," ",155,0.18,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","Lisa Wellman","(Prefers Democratic Party)",58241,69.93,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","Mike Nykreim","(Prefers Republican Party)",24972,29.98,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","WRITE-IN"," ",71,0.09,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Tana Senn","(Prefers Democratic Party)",63815,96.77,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","WRITE-IN"," ",2131,3.23,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","My-Linh Thai","(Prefers Democratic Party)",55609,66.62,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","Al Rosenthal","(Prefers Republican Party)",27808,33.31,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","WRITE-IN"," ",54,0.06,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Luanne Van Werven","(Prefers Republican Party)",45104,48.79,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Alicia Rule","(Prefers Democratic Party)",47260,51.12,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","WRITE-IN"," ",78,0.08,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","Jennifer Sefzik","(Prefers Republican Party)",44501,48.22,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","Sharon Shewmake","(Prefers Democratic Party)",47702,51.68,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","WRITE-IN"," ",93,0.1,"Legislative"
"LEGISLATIVE DISTRICT 43 - State Representative Pos. 1","Nicole Macri","(Prefers Democratic Party)",86409,90.88,"Legislative"
"LEGISLATIVE DISTRICT 43 - State Representative Pos. 1","Leslie Klein","(Prefers Republican Party)",8552,8.99,"Legislative"
"LEGISLATIVE DISTRICT 43 - State Representative Pos. 1","WRITE-IN"," ",117,0.12,"Legislative"
"LEGISLATIVE DISTRICT 43 - State Representative Pos. 2","Frank Chopp","(Prefers Democratic Party)",61788,66.23,"Legislative"
"LEGISLATIVE DISTRICT 43 - State Representative Pos. 2","Sherae Lascelles","(Prefers Seattle People&#39;s Party)",31029,33.26,"Legislative"
"LEGISLATIVE DISTRICT 43 - State Representative Pos. 2","WRITE-IN"," ",475,0.51,"Legislative"
"LEGISLATIVE DISTRICT 44 - State Representative Pos. 1","John Lovick","(Prefers Democratic Party)",50729,57.15,"Legislative"
"LEGISLATIVE DISTRICT 44 - State Representative Pos. 1","John T. Kartak","(Prefers Republican Party)",37962,42.77,"Legislative"
"LEGISLATIVE DISTRICT 44 - State Representative Pos. 1","WRITE-IN"," ",68,0.08,"Legislative"
"LEGISLATIVE DISTRICT 44 - State Representative Pos. 2","Mark A. James","(Prefers Republican Party)",42417,48.17,"Legislative"
"LEGISLATIVE DISTRICT 44 - State Representative Pos. 2","April Berg","(Prefers Democratic Party)",45572,51.76,"Legislative"
"LEGISLATIVE DISTRICT 44 - State Representative Pos. 2","WRITE-IN"," ",63,0.07,"Legislative"
"LEGISLATIVE DISTRICT 45 - State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)",60186,71.6,"Legislative"
"LEGISLATIVE DISTRICT 45 - State Representative Pos. 1","John P. Gibbons","(Prefers Republican Party)",23778,28.29,"Legislative"
"LEGISLATIVE DISTRICT 45 - State Representative Pos. 1","WRITE-IN"," ",90,0.11,"Legislative"
"LEGISLATIVE DISTRICT 45 - State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)",56562,66.99,"Legislative"
"LEGISLATIVE DISTRICT 45 - State Representative Pos. 2","Amber Krabach","(Prefers Republican Party)",27817,32.95,"Legislative"
"LEGISLATIVE DISTRICT 45 - State Representative Pos. 2","WRITE-IN"," ",54,0.06,"Legislative"
"LEGISLATIVE DISTRICT 46 - State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)",76563,83.8,"Legislative"
"LEGISLATIVE DISTRICT 46 - State Representative Pos. 1","Eric J. Brown","(Prefers Republican Party)",14704,16.09,"Legislative"
"LEGISLATIVE DISTRICT 46 - State Representative Pos. 1","WRITE-IN"," ",102,0.11,"Legislative"
"LEGISLATIVE DISTRICT 46 - State Representative Pos. 2","Javier Valdez","(Prefers Democratic Party)",74377,81.58,"Legislative"
"LEGISLATIVE DISTRICT 46 - State Representative Pos. 2","Beth Daranciang","(Prefers Republican Party)",16705,18.32,"Legislative"
"LEGISLATIVE DISTRICT 46 - State Representative Pos. 2","WRITE-IN"," ",92,0.1,"Legislative"
"LEGISLATIVE DISTRICT 47 - State Representative Pos. 1","Debra Entenman","(Prefers Democratic Party)",42147,58.59,"Legislative"
"LEGISLATIVE DISTRICT 47 - State Representative Pos. 1","Kyle Lyebyedyev","(Prefers Republican Party)",29719,41.31,"Legislative"
"LEGISLATIVE DISTRICT 47 - State Representative Pos. 1","WRITE-IN"," ",68,0.09,"Legislative"
"LEGISLATIVE DISTRICT 47 - State Representative Pos. 2","Pat Sullivan","(Prefers Democratic Party)",42399,58.84,"Legislative"
"LEGISLATIVE DISTRICT 47 - State Representative Pos. 2","Ted Cooke","(Prefers Republican Party)",29595,41.07,"Legislative"
"LEGISLATIVE DISTRICT 47 - State Representative Pos. 2","WRITE-IN"," ",69,0.1,"Legislative"
"LEGISLATIVE DISTRICT 48 - State Representative Pos. 1","Vandana Slatter","(Prefers Democratic Party)",49426,71.27,"Legislative"
"LEGISLATIVE DISTRICT 48 - State Representative Pos. 1","Victor H. Bishop","(Prefers Republican Party)",19884,28.67,"Legislative"
"LEGISLATIVE DISTRICT 48 - State Representative Pos. 1","WRITE-IN"," ",43,0.06,"Legislative"
"LEGISLATIVE DISTRICT 48 - State Representative Pos. 2","Amy Walen","(Prefers Democratic Party)",49213,70.92,"Legislative"
"LEGISLATIVE DISTRICT 48 - State Representative Pos. 2","Tim J. Hickey","(Prefers Republican Party)",20115,28.99,"Legislative"
"LEGISLATIVE DISTRICT 48 - State Representative Pos. 2","WRITE-IN"," ",62,0.09,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","Annette Cleveland","(Prefers Democratic Party)",41424,56.47,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","Rey Reynolds","(Prefers Ind. Republican Party)",31803,43.36,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","WRITE-IN"," ",127,0.17,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","Sharon Wylie","(Prefers Democratic Party)",45684,62.89,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","Justin Forsman","(Prefers Republican Party)",26736,36.81,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","WRITE-IN"," ",216,0.3,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Monica Stonier","(Prefers Democratic Party)",45578,62.48,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Park Llafet","(Prefers Republican Party)",27211,37.3,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","WRITE-IN"," ",156,0.21,"Legislative"
